,USA_MOM,USA_QUAL,USA_VAL,USA_SMALL,EUR_MOM,EUR_QUAL,EUR_VAL,EUR_SMALL,CONS_DISC,CONS_STAP,ENERGY,HEALTH,INDUST,INFOTECH,MATERIALS
2004-05,622.72112115,701.36906522,452.69697691114766,219.3760185749503,1000.496977052408,780.5139008410819,651.5001101680537,123.89698056641022,248.88999938964844,234.4199981689453,238.5399932861328,355.8800048828125,251.22000122070312,314.260009765625,157.0500030517578
2004-06,641.22102228,709.90715929,467.0630574841325,227.4295126018311,1025.4971415546706,790.9890496740578,675.340530481123,128.42364999424004,249.99000549316406,234.9499969482422,250.82000732421875,354.6600036621094,265.7799987792969,322.92999267578125,164.75
2004-07,609.12512152,686.79424092,451.5580917898134,213.7086074834231,1011.577326996075,770.8245593594527,663.7185692131643,124.136548463042,240.0399932861328,223.2899932861328,259.1499938964844,335.42999267578125,260.17999267578125,298.55999755859375,161.11000061035156
2004-08,613.01523462,690.08881244,451.81507300172456,211.69525839092057,1006.4500759571916,764.265274176879,657.1841321401605,122.57381081565936,239.64999389648438,227.47999572753906,255.55999755859375,340.6700134277344,259.239990234375,282.45001220703125,163.6300048828125
2004-09,645.55816933,688.43140981,463.8389615085276,221.4463680951783,1035.6756717774367,766.2051905398785,669.8917885907746,125.54800989115115,246.57000732421875,220.74000549316406,276.95001220703125,334.29998779296875,264.4800109863281,290.6300048828125,169.66000366210938
2004-10,650.23680704,691.25156755,468.31928391301074,225.83823255679457,1051.066212880749,769.0083089353352,675.7105647730668,127.5043924555568,256.5400085449219,222.0399932861328,278.6600036621094,326.8699951171875,267.30999755859375,305.8500061035156,168.27000427246094
2004-11,699.5976106,714.61372373,505.0973501412896,243.56630995627333,1091.5737606592004,778.9375319471259,706.0727613896843,134.28943547402844,266.6600036621094,228.41000366210938,294.6099853515625,331.8699951171875,282.55999755859375,320.5,180.9600067138672
2004-12,712.3568729,745.64732642,525.4707839044635,251.7546915441896,1116.119503106003,786.7336805448109,729.4568312350407,137.94599913239523,278.8999938964844,236.99000549316406,288.6300048828125,350.4800109863281,289.57000732421875,329.54998779296875,183.14999389648438
2005-01,697.33004342,736.48605693,516.3915065247108,240.6434421133769,1150.3584295190503,806.2356175680619,752.6063335675597,145.9295009329219,267.239990234375,239.57000732421875,296.4700012207031,339.1300048828125,281.7099914550781,312.260009765625,177.4600067138672
2005-02,737.88928345,754.35121827,533.6486164513616,245.4441975667624,1194.8005152836777,839.7607984115834,788.6798566936525,151.1063159544272,265.8699951171875,239.7899932861328,350.67999267578125,348.95001220703125,282.9599914550781,312.17999267578125,190.91000366210938
2005-03,729.71223051,744.98704503,529.9779622973986,237.53997832620647,1169.1934691052818,835.0764852740102,776.1038105764482,150.5768056539051,262.44000244140625,237.16000366210938,337.9100036621094,346.8999938964844,283.6600036621094,304.92999267578125,185.52999877929688
2005-04,700.9430644,727.90776687,512.2388111807751,224.72223964683243,1143.034110543686,826.9379623325684,743.4126370485587,145.75162356250405,245.4600067138672,234.32000732421875,319.9700012207031,358.5299987792969,274.9599914550781,293.1400146484375,172.5
2005-05,726.55665294,747.28402162,530.048943961428,239.4687364134414,1207.9050788685956,863.1831385091119,787.7671559226776,152.7247223534215,259.80999755859375,239.02000427246094,324.3299865722656,361.3800048828125,281.07000732421875,315.510009765625,170.5
2005-06,752.23162597,737.53684401,532.0054769300441,247.1847195634847,1262.7554863692824,890.5594310929428,818.4916801883719,159.5920291555201,259.3900146484375,234.24000549316406,343.07000732421875,359.8800048828125,272.8900146484375,309.9200134277344,167.08999633789062
